day_num,weekday,extra,Как вы участвовали сегодня?,Оцените уровень сложности сегодняшнего дня,Насколько было интересно сегодня?,"Оцените качество материалов (слайды, задания, примеры и т.д.)"
16,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
16,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
16,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
16,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Нормально
16,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
15,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
15,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Нормально
15,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Нормально
15,вторник,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
15,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком легко/медленно,Нейтрально,Нормально
15,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Нормально
15,вторник,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
14,суббота,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Нейтрально,Нормально
14,суббота,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
14,суббота,Часть Елены Убогоевой,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
14,суббота,Часть Елены Убогоевой,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
14,суббота,Часть Елены Убогоевой,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Нормально
14,суббота,Часть Елены Убогоевой,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
13,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Нейтрально,Нормально
13,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
13,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком сложно/быстро,Очень интересно,Нормально
13,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
13,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
13,четверг,Часть Елены Рыбиной,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Нейтрально,Нормально
13,четверг,Часть Елены Рыбиной,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Нормально
13,четверг,Часть Елены Рыбиной,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Нормально
13,четверг,Часть Елены Рыбиной,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
13,четверг,Часть Елены Рыбиной,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
13,четверг,Часть Елены Рыбиной,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
13,четверг,Часть Елены Рыбиной,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
12,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Нормально
12,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
12,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Нормально
12,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Нейтрально,Хорошо
11,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Нейтрально,Нормально
11,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
11,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
11,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Очень интересно,Хорошо
11,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Оптимально,Нейтрально,Хорошо
11,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
11,четверг,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Нормально
11,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
11,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
11,четверг,Часть Ивана Позднякова,Смотрю ЗАПИСЬ в RUTUBE,Оптимально,Очень интересно,Хорошо
10,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
10,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком легко/медленно,Нейтрально,Хорошо
10,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в RUTUBE,Оптимально,Очень интересно,Хорошо
10,вторник,Часть Ивана Позднякова,Смотрю ОНЛАЙН-трансляцию в DISCORD,Слишком легко/медленно,Нейтрально,Плохо
